NUMBER,TYPE,LONG. LOCATION (M),NUMBER,INDIVIDUAL CA,TOTAL CA
1,LAUNCH LUG,0.684,1,0.0391,0.0391
2,LAUNCH LUG,1.040,1,0.0358,0.0358
