ALPHA,CNQ,CMQ,CAQ,CNAD,CMAD
-30.0,0.181,-0.676,0.0,0.289,-0.045
-25.0,0.181,-0.676,0.0,0.289,-0.045
-20.0,0.181,-0.676,0.0,0.289,-0.045
-15.0,0.181,-0.676,0.0,0.289,-0.045
-10.0,0.181,-0.676,0.0,0.289,-0.045
-5.0,0.181,-0.676,0.0,0.289,-0.045
0.0,0.181,-0.676,0.0,0.289,-0.045
5.0,0.181,-0.676,0.0,0.289,-0.045
10.0,0.181,-0.676,0.0,0.289,-0.045
15.0,0.181,-0.676,0.0,0.289,-0.045
20.0,0.181,-0.676,0.0,0.289,-0.045
25.0,0.181,-0.676,0.0,0.289,-0.045
30.0,0.181,-0.676,0.0,0.289,-0.045
